Category,# of Traits,Token Count,Rarity
left hand,1 Traits,1024,1.0
right hand,1 Traits,1024,1.0
shoes,1 Traits,1024,1.0
hat,1 Traits,1024,1.0
glasses,1 Traits,1024,1.0
accessories,4 Traits,31,0.0302734375
accessories,2 Traits,120,0.1171875
accessories,6 Traits,11,0.0107421875
accessories,1 Traits,794,0.775390625
accessories,5 Traits,20,0.01953125
accessories,3 Traits,42,0.041015625
accessories,10 Traits,3,0.0029296875
accessories,12 Traits,2,0.001953125
accessories,11 Traits,1,0.0009765625
top,1 Traits,939,0.9169921875
top,4 Traits,4,0.00390625
top,2 Traits,67,0.0654296875
top,3 Traits,11,0.0107421875
top,6 Traits,1,0.0009765625
top,24 Traits,2,0.001953125
bottom,1 Traits,927,0.9052734375
bottom,3 Traits,22,0.021484375
bottom,2 Traits,71,0.0693359375
bottom,4 Traits,4,0.00390625
body,8 Traits,3,0.0029296875
body,10 Traits,1,0.0009765625
body,1 Traits,918,0.896484375
body,5 Traits,5,0.0048828125
body,4 Traits,6,0.005859375
body,7 Traits,2,0.001953125
body,9 Traits,2,0.001953125
body,2 Traits,60,0.05859375
body,3 Traits,20,0.01953125
body,13 Traits,1,0.0009765625
body,6 Traits,3,0.0029296875
body,12 Traits,3,0.0029296875
hair,1 Traits,1024,1.0
mouth,1 Traits,1024,1.0
beard,1 Traits,1024,1.0
eyes,1 Traits,1024,1.0
skin,1 Traits,1024,1.0
