Token ID,Category,Trait
1,hat,crown
2,bottom,blue shorts
3,shoes,violet sneakers
8,top,violet jacket
10,hair,blonde messy hair
16,bottom,beige pants
19,hair,light brown pompadour
20,accessories,black messy tie
20,hair,flat top red
26,beard,long grey beard
27,top,red-white striped shirt
37,hair,blonde sidecut
43,top,blue longsleeve
50,hair,blonde mohawk
58,hair,wild red hair
59,hat,safety helmet
80,shoes,sand uggs
80,hair,wild grey hair
92,beard,red chin strap
123,top,black rainbow shirt
124,bottom,white shorts
127,hair,sharp dark brown flattop
154,hair,grey messy hair
158,beard,red mustache
182,hair,red buzzcut
237,hair,fringe brown
263,hair,red messy hair
311,top,blue jacket
312,top,open violet shirt
