Token ID,Left hand Rarity (min),Left hand Rarity (avg),Left hand Rarity (weighted),Right hand Rarity (min),Right hand Rarity (avg),Right hand Rarity (weighted),Shoes Rarity (min),Shoes Rarity (avg),Shoes Rarity (weighted),Hat Rarity (min),Hat Rarity (avg),Hat Rarity (weighted),Glasses Rarity (min),Glasses Rarity (avg),Glasses Rarity (weighted),Accessories Rarity (min),Accessories Rarity (avg),Accessories Rarity (weighted),# of Accessoriess,Top Rarity (min),Top Rarity (avg),Top Rarity (weighted),# of Tops,Bottom Rarity (min),Bottom Rarity (avg),Bottom Rarity (weighted),# of Bottoms,Body Rarity (min),Body Rarity (avg),Body Rarity (weighted),# of Bodys,Hair Rarity (min),Hair Rarity (avg),Hair Rarity (weighted),Mouth Rarity (min),Mouth Rarity (avg),Mouth Rarity (weighted),Beard Rarity (min),Beard Rarity (avg),Beard Rarity (weighted),Eyes Rarity (min),Eyes Rarity (avg),Eyes Rarity (weighted),Skin Rarity (min),Skin Rarity (avg),Skin Rarity (weighted),Niftiness,Power,Swag,Wealth,Empathy,Health,Total Skills,Skill Tier,Skill Rarity,Rarity (min),Rarity (avg),Rarity (weighted)
1,0.166015625,0.166015625,0.166015625,0.107421875,0.107421875,0.107421875,0.0185546875,0.0185546875,0.0185546875,0.0009765625,0.0009765625,0.0009765625,0.0869140625,0.0869140625,0.0869140625,0.005859375,0.05419921875,0.0001773834228515625,4,0.03125,0.03125,0.028656005859375,1,0.00390625,0.00390625,0.003536224365234375,1,0.015625,0.0584716796875,4.57763671875e-05,8,0.1875,0.1875,0.1875,0.2021484375,0.2021484375,0.2021484375,0.2783203125,0.2783203125,0.2783203125,0.1064453125,0.1064453125,0.1064453125,0.1083984375,0.1083984375,0.1083984375,9,10,61,85,25,68,258,ordinary,0.845703125,3.231103502998649e-20,1.1184540504618176e-18,2.3789171572125135e-24
2,0.0048828125,0.0048828125,0.0048828125,0.001953125,0.001953125,0.001953125,0.09765625,0.09765625,0.09765625,0.0810546875,0.0810546875,0.0810546875,0.2958984375,0.2958984375,0.2958984375,0.0205078125,0.0634765625,0.00240325927734375,2,0.0166015625,0.0166015625,0.015223503112792969,1,0.0009765625,0.0009765625,0.0008840560913085938,1,0.0048828125,0.0515625,4.76837158203125e-06,10,0.005859375,0.005859375,0.005859375,0.08984375,0.08984375,0.08984375,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.1083984375,0.1083984375,0.1083984375,95,64,36,10,3,6,214,ordinary,0.845703125,1.1177695192282894e-22,3.653509514277609e-21,1.0618887223108566e-26
3,0.1923828125,0.1923828125,0.1923828125,0.00390625,0.00390625,0.00390625,0.0009765625,0.0009765625,0.0009765625,0.1962890625,0.1962890625,0.1962890625,0.2958984375,0.2958984375,0.2958984375,0.005859375,0.032063802083333336,6.29425048828125e-05,6,0.0078125,0.0078125,0.00716400146484375,1,0.00390625,0.017903645833333332,8.392333984375e-05,3,0.201171875,0.201171875,0.18034744262695312,1,0.001953125,0.001953125,0.001953125,0.125,0.125,0.125,0.005859375,0.005859375,0.005859375,0.1630859375,0.1630859375,0.1630859375,0.0341796875,0.0341796875,0.0341796875,18,97,75,34,24,43,291,ordinary,0.845703125,1.0340168741955788e-23,2.5934196370159945e-22,1.9617851329609187e-27
4,0.0859375,0.0859375,0.0859375,0.052734375,0.052734375,0.052734375,0.111328125,0.111328125,0.111328125,0.0068359375,0.0068359375,0.0068359375,0.2958984375,0.2958984375,0.2958984375,0.0380859375,0.05908203125,0.00446319580078125,2,0.009765625,0.009765625,0.008955001831054688,1,0.01953125,0.02197265625,0.001354217529296875,2,0.201171875,0.201171875,0.18034744262695312,1,0.0166015625,0.0166015625,0.0166015625,0.2255859375,0.2255859375,0.2255859375,0.056640625,0.056640625,0.056640625,0.2294921875,0.2294921875,0.2294921875,0.0390625,0.0390625,0.0390625,98,79,18,0,9,50,254,ordinary,0.845703125,2.398385918911926e-18,4.185644656562641e-18,1.6020169523113316e-20
5,0.0458984375,0.0458984375,0.0458984375,0.1826171875,0.1826171875,0.1826171875,0.0634765625,0.0634765625,0.0634765625,0.0810546875,0.0810546875,0.0810546875,0.2958984375,0.2958984375,0.2958984375,0.01171875,0.04296875,0.001373291015625,2,0.0341796875,0.0341796875,0.031342506408691406,1,0.046875,0.046875,0.0424346923828125,1,0.201171875,0.201171875,0.18034744262695312,1,0.1875,0.1875,0.1875,0.2255859375,0.2255859375,0.2255859375,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.037109375,0.037109375,0.037109375,14,30,98,30,81,14,267,ordinary,0.845703125,4.0865739292835184e-15,1.49841044073729e-14,3.563926896251029e-16
6,0.1923828125,0.1923828125,0.1923828125,0.1826171875,0.1826171875,0.1826171875,0.1669921875,0.1669921875,0.1669921875,0.0625,0.0625,0.0625,0.2958984375,0.2958984375,0.2958984375,0.01171875,0.02392578125,0.001373291015625,2,0.1484375,0.1484375,0.13611602783203125,1,0.0087890625,0.017578125,0.0006093978881835938,2,0.001953125,0.0238037109375,5.7220458984375e-06,8,0.0185546875,0.0185546875,0.0185546875,0.01953125,0.01953125,0.01953125,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.06640625,0.06640625,0.06640625,93,87,0,24,0,0,204,ordinary,0.845703125,4.21160525299322e-18,2.0959316766849077e-16,9.19336014887902e-23
7,0.052734375,0.052734375,0.052734375,0.001953125,0.001953125,0.001953125,0.0029296875,0.0029296875,0.0029296875,0.0478515625,0.0478515625,0.0478515625,0.2958984375,0.2958984375,0.2958984375,0.03125,0.075439453125,0.000946044921875,4,0.0126953125,0.01953125,4.9591064453125e-05,4,0.01953125,0.030924479166666668,0.00041961669921875,3,0.0068359375,0.0201171875,3.337860107421875e-05,5,0.00390625,0.00390625,0.00390625,0.0595703125,0.0595703125,0.0595703125,0.025390625,0.025390625,0.025390625,0.1064453125,0.1064453125,0.1064453125,0.0439453125,0.0439453125,0.0439453125,30,61,3,82,38,72,286,ordinary,0.845703125,5.289636315239803e-24,9.153822816785734e-23,6.562062420914201e-32
8,0.1005859375,0.1005859375,0.1005859375,0.07421875,0.07421875,0.07421875,0.0498046875,0.0498046875,0.0498046875,0.017578125,0.017578125,0.017578125,0.013671875,0.013671875,0.013671875,0.0078125,0.055013020833333336,8.392333984375e-05,6,0.0009765625,0.00830078125,6.389617919921875e-05,2,0.00390625,0.018229166666666668,8.392333984375e-05,3,0.013671875,0.034912109375,8.0108642578125e-05,4,0.0166015625,0.0166015625,0.0166015625,0.08984375,0.08984375,0.08984375,0.013671875,0.013671875,0.013671875,0.15625,0.15625,0.15625,0.1533203125,0.1533203125,0.1533203125,20,6,45,100,5,56,232,ordinary,0.845703125,1.5041893510430772e-23,1.0728813347103936e-20,1.3308959462563027e-30
9,0.01953125,0.01953125,0.01953125,0.1826171875,0.1826171875,0.1826171875,0.00390625,0.00390625,0.00390625,0.015625,0.015625,0.015625,0.2958984375,0.2958984375,0.2958984375,0.0029296875,0.041666666666666664,3.147125244140625e-05,6,0.001953125,0.0087890625,0.0001277923583984375,2,0.00390625,0.02587890625,0.000270843505859375,2,0.00390625,0.037109375,7.62939453125e-06,7,0.013671875,0.013671875,0.013671875,0.046875,0.046875,0.046875,0.01953125,0.01953125,0.01953125,0.1630859375,0.1630859375,0.1630859375,0.1083984375,0.1083984375,0.1083984375,20,90,77,0,14,88,289,ordinary,0.845703125,1.0525014402472694e-24,4.239475801316001e-21,1.001794641775975e-31
10,0.00390625,0.00390625,0.00390625,0.0341796875,0.0341796875,0.0341796875,0.0390625,0.0390625,0.0390625,0.0478515625,0.0478515625,0.0478515625,0.2958984375,0.2958984375,0.2958984375,0.076171875,0.09130859375,0.0089263916015625,2,0.0166015625,0.0166015625,0.015223503112792969,1,0.01953125,0.0244140625,0.001354217529296875,2,0.201171875,0.201171875,0.18034744262695312,1,0.0009765625,0.0009765625,0.0009765625,0.0029296875,0.0029296875,0.0029296875,0.01171875,0.01171875,0.01171875,0.1064453125,0.1064453125,0.1064453125,0.0390625,0.0390625,0.0390625,45,86,22,27,20,57,257,ordinary,0.845703125,4.3258853804048834e-23,6.481895561984881e-23,2.8895023350989183e-25
11,0.1923828125,0.1923828125,0.1923828125,0.1826171875,0.1826171875,0.1826171875,0.1669921875,0.1669921875,0.1669921875,0.1962890625,0.1962890625,0.1962890625,0.2958984375,0.2958984375,0.2958984375,0.1298828125,0.1298828125,0.10070991516113281,1,0.1484375,0.1484375,0.13611602783203125,1,0.1181640625,0.1181640625,0.10697078704833984,1,0.201171875,0.201171875,0.18034744262695312,1,0.1875,0.1875,0.1875,0.2255859375,0.2255859375,0.2255859375,0.2783203125,0.2783203125,0.2783203125,0.2294921875,0.2294921875,0.2294921875,0.0458984375,0.0458984375,0.0458984375,0,36,52,39,51,56,234,ordinary,0.845703125,1.637694082708968e-11,1.637694082708968e-11,9.45021008554926e-12
