id,name,count,rarity
100,skateboard,5,0.0048828125
101,owl,88,0.0859375
102,ananas,34,0.033203125
103,piece of shit,12,0.01171875
104,sunflower,5,0.0048828125
105,ice cream cone left hand,45,0.0439453125
106,bloody golden knive,40,0.0390625
107,violet hookah,53,0.0517578125
108,red balloon,103,0.1005859375
109,dumbbell in left hand,23,0.0224609375
110,bloody sword,20,0.01953125
111,green bottle,79,0.0771484375
112,trident,5,0.0048828125
113,pitchfork,4,0.00390625
114,crowbar,47,0.0458984375
115,rifle,54,0.052734375
116,money bag in left hand,170,0.166015625
117,black brief case,34,0.033203125
118,dynamite,6,0.005859375
119,fish,54,0.052734375
120,boombox,125,0.1220703125
121,walking stick,76,0.07421875
122,cactus,39,0.0380859375
123,ice cream cone in right hand,44,0.04296875
124,magic wand,5,0.0048828125
125,tulip,23,0.0224609375
126,knive,38,0.037109375
127,basketball,4,0.00390625
128,green hookah,35,0.0341796875
129,blue balloon,61,0.0595703125
130,banana,72,0.0703125
131,dumbbell in right hand,25,0.0244140625
132,sword in right hand,37,0.0361328125
133,beer in right hand,21,0.0205078125
134,brown bottle,2,0.001953125
135,letter,26,0.025390625
136,anchor,28,0.02734375
137,leather briefcase,12,0.01171875
138,money bag in right hand,110,0.107421875
139,black boots,65,0.0634765625
140,pink boots,19,0.0185546875
141,orange boots,15,0.0146484375
142,white boots,100,0.09765625
143,sand boots,21,0.0205078125
144,yellow rubber boots,36,0.03515625
145,green rubber boots,40,0.0390625
146,sandals,114,0.111328125
147,blue uggs,44,0.04296875
148,green uggs,6,0.005859375
149,sand uggs,1,0.0009765625
150,brown boots,3,0.0029296875
151,black loafer,67,0.0654296875
152,brown loafer,51,0.0498046875
153,violet sneakers,1,0.0009765625
154,yellow sneakers,19,0.0185546875
155,white sneakers,113,0.1103515625
156,black sneakers,89,0.0869140625
157,green sneakers,27,0.0263671875
158,red sneakers,11,0.0107421875
159,grey sneakers,3,0.0029296875
160,black cowboy boots,4,0.00390625
161,white cowboy boots,0,0.0
162,brown cowboy boots,4,0.00390625
163,red bobble hat,9,0.0087890625
164,blue bobble hat,39,0.0380859375
165,cook hat,2,0.001953125
166,prison hat,15,0.0146484375
167,police hat,35,0.0341796875
168,crown,1,0.0009765625
169,black beanie,83,0.0810546875
170,green beanie,14,0.013671875
171,white beanie,12,0.01171875
172,red beanie,38,0.037109375
173,white cowboy hat,32,0.03125
174,brown cowboy hat,60,0.05859375
175,panama hat,18,0.017578125
176,graduate hat,15,0.0146484375
177,white basecap,14,0.013671875
178,gold basecap,10,0.009765625
179,green basecap,3,0.0029296875
180,blue basecap,28,0.02734375
181,black basecap,53,0.0517578125
182,red basecap,8,0.0078125
183,orange basecap,4,0.00390625
184,pink basecap,35,0.0341796875
185,blue forward cap,2,0.001953125
186,grey forward cap,42,0.041015625
187,maga cap,49,0.0478515625
188,christmas hat,11,0.0107421875
189,cat on head,7,0.0068359375
190,tophat,64,0.0625
191,sombrero,10,0.009765625
192,sun hat,29,0.0283203125
193,pirate hat,16,0.015625
194,rasta hat,6,0.005859375
195,nurse hat,39,0.0380859375
196,viking helmet,5,0.0048828125
197,safety helmet,1,0.0009765625
198,tinfoil hat,14,0.013671875
199,violet shades,77,0.0751953125
200,black shades,144,0.140625
201,white glasses,18,0.017578125
202,gold glasses,89,0.0869140625
203,blue glasses,86,0.083984375
204,green glasses,74,0.072265625
205,pink glasses,56,0.0546875
206,orange glasses,42,0.041015625
207,red glasses,66,0.064453125
208,black glasses,5,0.0048828125
209,mirror glasses,14,0.013671875
210,nerd glasses,50,0.048828125
211,chicken,82,0.080078125
